CustomerID,CustomerName,CustomerPhoneNumber,CustomerFaxNumber,CustomerCategory,CustomerBuyingGroup,CustomerCity,CustomerStateProvinceCode,CustomerStateProvince,CustomerCountry,CustomerContinent,CustomerRegion,CustomerSubregion
1,Tailspin Toys (Head Office),(308) 555-0100,(308) 555-0101,Novelty Shop,Tailspin Toys,Lisco,NE,Nebraska,United States,North America,Americas,Northern America
2,Tailspin Toys (Sylvanite, MT),(406) 555-0100,(406) 555-0101,Novelty Shop,Tailspin Toys,Sylvanite,MT,Montana,United States,North America,Americas,Northern America
3,Tailspin Toys (Peeples Valley, AZ),(480) 555-0100,(480) 555-0101,Novelty Shop,Tailspin Toys,Peeples Valley,AZ,Arizona,United States,North America,Americas,Northern America
4,Tailspin Toys (Medicine Lodge, KS),(316) 555-0100,(316) 555-0101,Novelty Shop,Tailspin Toys,Medicine Lodge,KS,Kansas,United States,North America,Americas,Northern America
5,Tailspin Toys (Gasport, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Gasport,NY,New York,United States,North America,Americas,Northern America
6,Tailspin Toys (Jessie, ND),(701) 555-0100,(701) 555-0101,Novelty Shop,Tailspin Toys,Jessie,ND,North Dakota,United States,North America,Americas,Northern America
7,Tailspin Toys (Frankewing, TN),(423) 555-0100,(423) 555-0101,Novelty Shop,Tailspin Toys,Frankewing,TN,Tennessee,United States,North America,Americas,Northern America
8,Tailspin Toys (Bow Mar, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Tailspin Toys,Bow Mar,CO,Colorado,United States,North America,Americas,Northern America
9,Tailspin Toys (Netcong, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Tailspin Toys,Netcong,NJ,New Jersey,United States,North America,Americas,Northern America
10,Tailspin Toys (Wimbledon, ND),(701) 555-0100,(701) 555-0101,Novelty Shop,Tailspin Toys,Wimbledon,ND,North Dakota,United States,North America,Americas,Northern America
11,Tailspin Toys (Devault, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Tailspin Toys,Devault,PA,Pennsylvania,United States,North America,Americas,Northern America
12,Tailspin Toys (Biscay, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Tailspin Toys,Biscay,MN,Minnesota,United States,North America,Americas,Northern America
13,Tailspin Toys (Stonefort, IL),(217) 555-0100,(217) 555-0101,Novelty Shop,Tailspin Toys,Stonefort,IL,Illinois,United States,North America,Americas,Northern America
