SalesPersonID,SalesPersonName,SalesPersonPhoneNumber,SalesPersonFaxNumber,SalesPersonEmail
2,Kayla Woodcock,(415) 555-0102,(415) 555-0103,kaylaw@wideworldimporters.com
3,Hudson Onslow,(415) 555-0102,(415) 555-0103,hudsono@wideworldimporters.com
6,Sophia Hinton,(415) 555-0102,(415) 555-0103,sophiah@wideworldimporters.com
7,Amy Trefl,(415) 555-0102,(415) 555-0103,amyt@wideworldimporters.com
8,Anthony Grosse,(415) 555-0102,(415) 555-0103,anthonyg@wideworldimporters.com
13,Hudson Hollinworth,(415) 555-0102,(415) 555-0103,hudsonh@wideworldimporters.com
14,Lily Code,(415) 555-0102,(415) 555-0103,lilyc@wideworldimporters.com
15,Taj Shand,(415) 555-0102,(415) 555-0103,tajs@wideworldimporters.com
16,Archer Lamble,(415) 555-0102,(415) 555-0103,archerl@wideworldimporters.com
20,Jack Potter,(415) 555-0102,(415) 555-0103,jackp@wideworldimporters.com
